Entity,Code,Day,Daily new confirmed deaths due to COVID-19
United Kingdom,GBR,2020-03-07,2
United Kingdom,GBR,2020-03-08,2
United Kingdom,GBR,2020-03-09,0
United Kingdom,GBR,2020-03-10,2
United Kingdom,GBR,2020-03-11,5
United Kingdom,GBR,2020-03-12,3
United Kingdom,GBR,2020-03-13,7
United Kingdom,GBR,2020-03-14,13
United Kingdom,GBR,2020-03-15,16
United Kingdom,GBR,2020-03-16,21
United Kingdom,GBR,2020-03-17,30
United Kingdom,GBR,2020-03-18,50
United Kingdom,GBR,2020-03-19,58
United Kingdom,GBR,2020-03-20,73
United Kingdom,GBR,2020-03-21,79
United Kingdom,GBR,2020-03-22,118
United Kingdom,GBR,2020-03-23,143
United Kingdom,GBR,2020-03-24,183
United Kingdom,GBR,2020-03-25,206
United Kingdom,GBR,2020-03-26,263
United Kingdom,GBR,2020-03-27,337
United Kingdom,GBR,2020-03-28,410
United Kingdom,GBR,2020-03-29,463
United Kingdom,GBR,2020-03-30,516
United Kingdom,GBR,2020-03-31,585
United Kingdom,GBR,2020-04-01,710
United Kingdom,GBR,2020-04-02,827
United Kingdom,GBR,2020-04-03,922
United Kingdom,GBR,2020-04-04,1006
United Kingdom,GBR,2020-04-05,1056
United Kingdom,GBR,2020-04-06,1146
United Kingdom,GBR,2020-04-07,1219
United Kingdom,GBR,2020-04-08,1168
United Kingdom,GBR,2020-04-09,1292
United Kingdom,GBR,2020-04-10,1459
United Kingdom,GBR,2020-04-11,1371
United Kingdom,GBR,2020-04-12,1319
United Kingdom,GBR,2020-04-13,1362
United Kingdom,GBR,2020-04-14,1376
United Kingdom,GBR,2020-04-15,1230
United Kingdom,GBR,2020-04-16,1252
United Kingdom,GBR,2020-04-17,1275
United Kingdom,GBR,2020-04-18,1320
United Kingdom,GBR,2020-04-19,1267
United Kingdom,GBR,2020-04-20,1188
United Kingdom,GBR,2020-04-21,1122
United Kingdom,GBR,2020-04-22,1159
United Kingdom,GBR,2020-04-23,1082
United Kingdom,GBR,2020-04-24,1101
United Kingdom,GBR,2020-04-25,1037
United Kingdom,GBR,2020-04-26,1004
United Kingdom,GBR,2020-04-27,918
United Kingdom,GBR,2020-04-28,894
United Kingdom,GBR,2020-04-29,866
United Kingdom,GBR,2020-04-30,800
United Kingdom,GBR,2020-05-01,817
United Kingdom,GBR,2020-05-02,780
United Kingdom,GBR,2020-05-03,785
United Kingdom,GBR,2020-05-04,705
United Kingdom,GBR,2020-05-05,661
United Kingdom,GBR,2020-05-06,676
United Kingdom,GBR,2020-05-07,642
United Kingdom,GBR,2020-05-08,627
United Kingdom,GBR,2020-05-09,629
United Kingdom,GBR,2020-05-10,568
United Kingdom,GBR,2020-05-11,539
United Kingdom,GBR,2020-05-12,493
United Kingdom,GBR,2020-05-13,427
United Kingdom,GBR,2020-05-14,441
United Kingdom,GBR,2020-05-15,454
United Kingdom,GBR,2020-05-16,465
United Kingdom,GBR,2020-05-17,421
United Kingdom,GBR,2020-05-18,419
United Kingdom,GBR,2020-05-19,377
United Kingdom,GBR,2020-05-20,407
United Kingdom,GBR,2020-05-21,371
United Kingdom,GBR,2020-05-22,353
United Kingdom,GBR,2020-05-23,342
United Kingdom,GBR,2020-05-24,300
United Kingdom,GBR,2020-05-25,284
United Kingdom,GBR,2020-05-26,281
United Kingdom,GBR,2020-05-27,279
United Kingdom,GBR,2020-05-28,299
United Kingdom,GBR,2020-05-29,281
United Kingdom,GBR,2020-05-30,288
United Kingdom,GBR,2020-05-31,254
United Kingdom,GBR,2020-06-01,219
United Kingdom,GBR,2020-06-02,195
United Kingdom,GBR,2020-06-03,199
United Kingdom,GBR,2020-06-04,233
United Kingdom,GBR,2020-06-05,203
United Kingdom,GBR,2020-06-06,183
United Kingdom,GBR,2020-06-07,184
United Kingdom,GBR,2020-06-08,151
United Kingdom,GBR,2020-06-09,163
United Kingdom,GBR,2020-06-10,161
United Kingdom,GBR,2020-06-11,137
United Kingdom,GBR,2020-06-12,166
United Kingdom,GBR,2020-06-13,121
United Kingdom,GBR,2020-06-14,135
United Kingdom,GBR,2020-06-15,101
United Kingdom,GBR,2020-06-16,136
United Kingdom,GBR,2020-06-17,107
United Kingdom,GBR,2020-06-18,120
United Kingdom,GBR,2020-06-19,105
United Kingdom,GBR,2020-06-20,89
United Kingdom,GBR,2020-06-21,88
United Kingdom,GBR,2020-06-22,87
United Kingdom,GBR,2020-06-23,80
United Kingdom,GBR,2020-06-24,83
United Kingdom,GBR,2020-06-25,97
United Kingdom,GBR,2020-06-26,101
United Kingdom,GBR,2020-06-27,108
United Kingdom,GBR,2020-06-28,79
United Kingdom,GBR,2020-06-29,73
United Kingdom,GBR,2020-06-30,70
United Kingdom,GBR,2020-07-01,69
