■ '오디세이' 일자별 통계정보,,,,,,,,,,,,,,
- 조회일: 2026-09-07,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2026.7.23,1,0.0%,1,0.0%,624,0.0%,100.0%,"10,608,000",10608000 ( 100.0% ),624,624 ( 100.0% ),"10,608,000",624,10
2026.8.3,2,0.0%,2,0.0%,678,0.0%,100.0%,"6,102,000",6102000 ( 100.0% ),678,678 ( 100.0% ),"16,710,000","1,302",10
2026.8.4,3,0.1%,3,0.0%,"1,065",0.1%,100.0%,"12,681,000",6579000 ( 107.8% ),"1,065",387 ( 57.1% ),"29,391,000","2,367",9
2026.8.5,"1,682",28.3%,"5,036",33.9%,"709,761",37.0%,41.2%,"3,136,526,240",3123845240 ( 24634.1% ),"292,705",291640 ( 27384.0% ),"3,165,917,240","295,072",1
2026.8.6,"1,660",28.0%,"4,912",33.5%,"691,365",36.4%,35.6%,"2,672,139,270",-464386970 ( -14.8% ),"246,217",-46488 ( -15.9% ),"5,838,056,510","541,289",1
2026.8.7,"1,633",27.9%,"5,012",33.1%,"688,348",35.0%,45.1%,"3,490,588,570",818449300 ( 30.6% ),"310,279",64062 ( 26.0% ),"9,328,645,080","851,568",1
2026.8.8,"1,745",29.0%,"5,187",32.8%,"702,752",34.3%,74.8%,"5,748,471,340",2257882770 ( 64.7% ),"525,638",215359 ( 69.4% ),"15,077,116,420","1,377,206",1
2026.8.9,"1,798",29.9%,"5,118",33.5%,"689,533",34.9%,72.2%,"5,420,976,000",-327495340 ( -5.7% ),"497,540",-28098 ( -5.3% ),"20,498,092,420","1,874,746",1
2026.8.10,"1,647",30.5%,"4,991",35.8%,"695,524",38.1%,37.0%,"2,827,926,070",-2593049930 ( -47.8% ),"257,608",-239932 ( -48.2% ),"23,326,018,490","2,132,354",1
2026.8.11,"1,697",30.4%,"5,075",35.8%,"707,052",38.3%,33.4%,"2,613,301,770",-214624300 ( -7.6% ),"236,216",-21392 ( -8.3% ),"25,939,320,260","2,368,570",1
2026.8.12,"1,727",27.3%,"4,730",31.1%,"676,701",34.6%,36.5%,"2,637,448,190",24146420 ( 0.9% ),"247,314",11098 ( 4.7% ),"28,576,768,450","2,615,884",1
2026.8.13,"1,726",27.1%,"4,879",32.3%,"697,611",35.9%,33.7%,"2,619,186,760",-18261430 ( -0.7% ),"234,825",-12489 ( -5.0% ),"31,195,955,210","2,850,709",1
2026.8.14,"1,876",28.5%,"5,485",35.1%,"784,895",39.0%,41.9%,"3,773,726,580",1154539820 ( 44.1% ),"329,032",94207 ( 40.1% ),"34,969,681,790","3,179,741",1
2026.8.15,"2,042",30.5%,"6,454",39.6%,"918,504",43.9%,69.9%,"7,061,943,810",3288217230 ( 87.1% ),"642,075",313043 ( 95.1% ),"42,031,625,600","3,821,816",1
2026.8.16,"2,114",31.5%,"6,633",40.9%,"940,056",45.2%,76.7%,"7,879,737,110",817793300 ( 11.6% ),"720,582",78507 ( 12.2% ),"49,911,362,710","4,542,398",1
2026.8.17,"2,109",32.3%,"6,473",42.2%,"917,002",46.6%,67.7%,"6,749,867,060",-1129870050 ( -14.3% ),"620,942",-99640 ( -13.8% ),"56,661,229,770","5,163,340",1
2026.8.18,"1,787",30.4%,"5,446",39.8%,"795,880",44.9%,28.7%,"2,568,502,650",-4181364410 ( -61.9% ),"228,275",-392667 ( -63.2% ),"59,229,732,420","5,391,615",1
2026.8.19,"1,875",29.5%,"5,621",40.2%,"823,630",45.8%,25.2%,"2,342,366,250",-226136400 ( -8.8% ),"207,839",-20436 ( -9.0% ),"61,572,098,670","5,599,454",1
2026.8.20,"1,831",28.1%,"5,438",38.6%,"799,332",44.2%,23.6%,"2,128,348,620",-214017630 ( -9.1% ),"188,665",-19174 ( -9.2% ),"63,700,447,290","5,788,119",1
2026.8.21,"1,986",29.8%,"6,189",42.4%,"904,747",48.2%,28.9%,"3,056,597,150",928248530 ( 43.6% ),"261,648",72983 ( 38.7% ),"66,757,044,440","6,049,767",1
2026.8.22,"2,182",31.4%,"7,240",47.2%,"1,038,796",53.1%,53.7%,"6,158,650,240",3102053090 ( 101.5% ),"557,343",295695 ( 113.0% ),"72,915,694,680","6,607,110",1
2026.8.23,"2,169",31.6%,"6,980",47.2%,"999,783",53.1%,50.2%,"5,519,629,180",-639021060 ( -10.4% ),"502,195",-55148 ( -9.9% ),"78,435,323,860","7,109,305",1
2026.8.24,"1,915",32.3%,"5,856",45.6%,"856,643",51.7%,21.8%,"2,129,060,890",-3390568290 ( -61.4% ),"186,589",-315606 ( -62.8% ),"80,564,384,750","7,295,894",1
2026.8.25,"1,917",31.6%,"5,898",45.3%,"861,053",51.3%,19.1%,"1,892,983,950",-236076940 ( -11.1% ),"164,393",-22196 ( -11.9% ),"82,457,368,700","7,460,287",1
2026.8.26,"1,813",26.3%,"5,258",37.0%,"775,990",42.8%,25.2%,"2,125,586,260",232602310 ( 12.3% ),"195,896",31503 ( 19.2% ),"84,582,954,960","7,656,183",1
2026.8.27,"1,735",26.4%,"5,214",37.4%,"770,447",43.4%,19.5%,"1,735,959,050",-389627210 ( -18.3% ),"150,084",-45812 ( -23.4% ),"86,318,914,010","7,806,267",1
2026.8.28,"1,850",27.5%,"5,807",39.9%,"859,022",46.2%,24.6%,"2,516,353,600",780394550 ( 45.0% ),"211,173",61089 ( 40.7% ),"88,835,267,610","8,017,440",1
2026.8.29,"2,071",27.9%,"6,770",43.8%,"986,986",50.2%,46.0%,"5,088,370,830",2572017230 ( 102.2% ),"453,544",242371 ( 114.8% ),"93,923,638,440","8,470,984",1
2026.8.30,"2,046",27.9%,"6,427",43.3%,"940,579",49.8%,41.9%,"4,377,911,230",-710459600 ( -14.0% ),"393,894",-59650 ( -13.2% ),"98,301,549,670","8,864,878",1
2026.8.31,"1,736",28.5%,"5,290",40.9%,"791,457",47.4%,18.4%,"1,672,388,700",-2705522530 ( -61.8% ),"145,914",-247980 ( -63.0% ),"99,973,938,370","9,010,792",1
2026.9.1,"1,760",29.0%,"5,286",41.6%,"790,069",48.1%,14.4%,"1,321,568,120",-350820580 ( -21.0% ),"113,414",-32500 ( -22.3% ),"101,295,506,490","9,124,206",1
2026.9.2,"1,609",24.6%,"4,821",35.5%,"725,756",41.8%,14.7%,"1,247,168,540",-74399580 ( -5.6% ),"106,989",-6425 ( -5.7% ),"102,542,675,030","9,231,195",1
2026.9.3,"1,612",24.4%,"4,807",35.6%,"725,938",42.0%,13.6%,"1,164,595,530",-82573010 ( -6.6% ),"98,405",-8584 ( -8.0% ),"103,707,270,560","9,329,600",1
2026.9.4,"1,701",25.4%,"5,284",37.5%,"788,651",43.7%,17.4%,"1,665,329,620",500734090 ( 43.0% ),"137,404",38999 ( 39.6% ),"105,372,600,180","9,467,004",1
2026.9.5,"1,858",25.3%,"6,210",40.5%,"921,935",47.2%,32.7%,"3,428,663,390",1763333770 ( 105.9% ),"301,247",163843 ( 119.2% ),"108,801,263,570","9,768,251",1
2026.9.6,"1,841",25.5%,"5,914",40.2%,"873,165",46.7%,29.7%,"2,927,393,360",-501270030 ( -14.6% ),"259,743",-41504 ( -13.8% ),"111,728,656,930","10,027,994",1
