■ '왕과 사는 남자' 일자별 통계정보,,,,,,,,,,,,,,
- 조회일: 2026-09-07,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2026.1.19,2,0.0%,2,0.0%,349,0.0%,100.0%,"3,141,000",3141000 ( 100.0% ),349,349 ( 100.0% ),"3,141,000",349,18
2026.1.20,1,0.0%,1,0.0%,124,0.0%,100.0%,"1,116,000",-2025000 ( -64.5% ),124,-225 ( -64.5% ),"4,257,000",473,44
2026.1.21,10,0.1%,11,0.1%,"2,420",0.1%,100.0%,"24,048,000",22932000 ( 2054.8% ),"2,420",2296 ( 1851.6% ),"28,305,000","2,893",13
2026.1.22,9,0.1%,9,0.1%,"1,473",0.1%,97.2%,"12,888,000",-11160000 ( -46.4% ),"1,432",-988 ( -40.8% ),"41,193,000","4,325",16
2026.1.23,4,0.1%,4,0.0%,671,0.0%,92.5%,"5,589,000",-7299000 ( -56.6% ),621,-811 ( -56.6% ),"46,782,000","4,946",19
2026.1.24,16,0.2%,21,0.1%,"4,650",0.2%,97.6%,"56,374,470",50785470 ( 908.7% ),"4,540",3919 ( 631.1% ),"103,156,470","9,486",12
2026.1.25,3,0.0%,3,0.0%,259,0.0%,100.0%,"2,331,000",-54043470 ( -95.9% ),259,-4281 ( -94.3% ),"105,487,470","9,745",31
2026.1.26,2,0.0%,2,0.0%,291,0.0%,92.8%,"2,430,000",99000 ( 4.2% ),270,11 ( 4.2% ),"107,917,470","10,015",24
2026.1.27,29,0.4%,29,0.2%,"6,263",0.4%,94.9%,"53,615,000",51185000 ( 2106.4% ),"5,943",5673 ( 2101.1% ),"161,532,470","15,958",5
2026.1.28,6,0.1%,6,0.0%,"1,113",0.1%,90.7%,"9,081,000",-44534000 ( -83.1% ),"1,009",-4934 ( -83.0% ),"170,613,470","16,967",20
2026.1.29,15,0.2%,15,0.1%,"2,579",0.1%,96.0%,"23,787,000",14706000 ( 161.9% ),"2,475",1466 ( 145.3% ),"194,400,470","19,442",14
2026.1.30,21,0.3%,22,0.1%,"3,528",0.2%,91.3%,"28,980,000",5193000 ( 21.8% ),"3,220",745 ( 30.1% ),"223,380,470","22,662",11
2026.1.31,14,0.2%,14,0.1%,"2,951",0.1%,92.7%,"26,476,000",-2504000 ( -8.6% ),"2,737",-483 ( -15.0% ),"249,856,470","25,399",15
2026.2.1,4,0.0%,4,0.0%,906,0.0%,100.0%,"8,154,000",-18322000 ( -69.2% ),906,-1831 ( -66.9% ),"258,010,470","26,305",24
2026.2.2,5,0.1%,5,0.0%,840,0.0%,100.0%,"7,560,000",-594000 ( -7.3% ),840,-66 ( -7.3% ),"265,570,470","27,145",16
2026.2.3,16,0.2%,16,0.1%,"2,883",0.2%,90.5%,"23,711,000",16151000 ( 213.6% ),"2,610",1770 ( 210.7% ),"289,281,470","29,755",11
2026.2.4,"1,658",25.5%,"6,932",46.2%,"1,016,912",51.1%,11.6%,"1,076,238,210",1052527210 ( 4439.0% ),"117,783",115173 ( 4412.8% ),"1,365,519,680","147,538",1
2026.2.5,"1,612",24.1%,"6,723",44.9%,"990,702",50.0%,9.3%,"831,148,510",-245089700 ( -22.8% ),"91,731",-26052 ( -22.1% ),"2,196,668,190","239,269",1
2026.2.6,"1,653",24.1%,"7,152",45.6%,"1,051,712",50.6%,12.0%,"1,203,723,060",372574550 ( 44.8% ),"126,625",34894 ( 38.0% ),"3,400,391,250","365,894",1
2026.2.7,"1,717",22.1%,"7,714",44.7%,"1,127,081",49.8%,29.0%,"3,145,705,860",1941982800 ( 161.3% ),"327,112",200487 ( 158.3% ),"6,546,097,110","693,006",1
2026.2.8,"1,724",22.4%,"7,292",44.3%,"1,053,723",49.1%,29.2%,"2,941,919,760",-203786100 ( -6.5% ),"308,083",-19029 ( -5.8% ),"9,488,016,870","1,001,089",1
2026.2.9,"1,530",23.9%,"6,494",45.8%,"964,995",50.9%,10.2%,"908,223,980",-2033695780 ( -69.1% ),"98,379",-209704 ( -68.1% ),"10,396,240,850","1,099,468",1
2026.2.10,"1,536",23.4%,"6,557",45.4%,"966,590",50.4%,9.9%,"878,997,090",-29226890 ( -3.2% ),"95,582",-2797 ( -2.8% ),"11,275,237,940","1,195,050",1
2026.2.11,"1,150",19.2%,"4,203",26.3%,"561,069",26.5%,15.5%,"811,327,260",-67669830 ( -7.7% ),"86,924",-8658 ( -9.1% ),"12,086,565,200","1,281,974",2
2026.2.12,"1,206",19.5%,"4,331",27.1%,"576,746",27.3%,14.5%,"775,585,340",-35741920 ( -4.4% ),"83,916",-3008 ( -3.5% ),"12,862,150,540","1,365,890",1
2026.2.13,"1,420",22.1%,"5,369",32.0%,"711,924",32.1%,18.8%,"1,295,622,220",520036880 ( 67.1% ),"133,573",49657 ( 59.2% ),"14,157,772,760","1,499,463",1
2026.2.14,"1,729",24.6%,"6,851",37.7%,"915,098",38.5%,39.1%,"3,489,757,500",2194135280 ( 169.3% ),"357,886",224313 ( 167.9% ),"17,647,530,260","1,857,349",1
2026.2.15,"1,836",25.9%,"7,248",39.8%,"966,451",40.5%,48.1%,"4,549,624,530",1059867030 ( 30.4% ),"465,254",107368 ( 30.0% ),"22,197,154,790","2,322,603",1
2026.2.16,"1,899",27.5%,"7,804",43.1%,"1,046,463",44.1%,51.3%,"5,301,151,370",751526840 ( 16.5% ),"537,175",71921 ( 15.5% ),"27,498,306,160","2,859,778",1
2026.2.17,"2,010",29.9%,"8,341",46.4%,"1,132,310",48.0%,58.4%,"6,574,650,470",1273499100 ( 24.0% ),"661,439",124264 ( 23.1% ),"34,072,956,630","3,521,217",1
2026.2.18,"2,017",27.8%,"8,045",45.4%,"1,087,738",47.2%,60.1%,"6,353,617,930",-221032540 ( -3.4% ),"653,634",-7805 ( -1.2% ),"40,426,574,560","4,174,851",1
2026.2.19,"1,607",25.1%,"6,521",42.1%,"922,676",45.5%,26.0%,"2,231,556,760",-4122061170 ( -64.9% ),"239,783",-413851 ( -63.3% ),"42,658,131,320","4,414,634",1
2026.2.20,"1,771",26.9%,"7,277",44.7%,"1,026,917",48.1%,25.8%,"2,586,365,530",354808770 ( 15.9% ),"264,713",24930 ( 10.4% ),"45,244,496,850","4,679,347",1
2026.2.21,"2,106",30.3%,"9,006",51.4%,"1,270,846",55.7%,45.7%,"5,691,833,080",3105467550 ( 120.1% ),"581,160",316447 ( 119.5% ),"50,936,329,930","5,260,507",1
2026.2.22,"2,142",31.0%,"8,689",51.8%,"1,216,331",55.8%,46.7%,"5,554,146,750",-137686330 ( -2.4% ),"568,288",-12872 ( -2.2% ),"56,490,476,680","5,828,795",1
2026.2.23,"1,756",29.6%,"7,273",50.0%,"1,047,129",54.5%,18.7%,"1,841,999,690",-3712147060 ( -66.8% ),"195,470",-372818 ( -65.6% ),"58,332,476,370","6,024,265",1
2026.2.24,"1,778",29.6%,"7,331",50.0%,"1,053,328",54.5%,18.5%,"1,827,069,870",-14929820 ( -0.8% ),"194,636",-834 ( -0.4% ),"60,159,546,240","6,218,901",1
2026.2.25,"1,937",30.2%,"7,497",49.7%,"1,079,070",54.6%,28.7%,"2,417,894,910",590825040 ( 32.3% ),"309,572",114936 ( 59.1% ),"62,577,441,150","6,528,473",1
2026.2.26,"1,803",28.7%,"7,335",49.5%,"1,060,940",54.5%,19.3%,"1,934,801,520",-483093390 ( -20.0% ),"204,929",-104643 ( -33.8% ),"64,512,242,670","6,733,402",1
2026.2.27,"1,932",28.5%,"8,039",51.1%,"1,163,349",56.3%,23.9%,"2,758,081,920",823280400 ( 42.6% ),"278,059",73130 ( 35.7% ),"67,270,324,590","7,011,461",1
2026.2.28,"2,165",30.8%,"9,758",56.3%,"1,401,444",61.8%,46.8%,"6,472,569,500",3714487580 ( 134.7% ),"655,719",377660 ( 135.8% ),"73,742,894,090","7,667,180",1
2026.3.1,"2,170",30.1%,"9,709",55.7%,"1,391,759",61.0%,58.7%,"8,012,476,100",1539906600 ( 23.8% ),"817,182",161463 ( 24.6% ),"81,755,370,190","8,484,362",1
2026.3.2,"2,150",30.9%,"9,321",56.3%,"1,333,367",61.7%,54.7%,"7,031,284,220",-981191880 ( -12.2% ),"728,915",-88267 ( -10.8% ),"88,786,654,410","9,213,277",1
2026.3.3,"1,800",31.1%,"7,489",55.4%,"1,075,351",59.9%,18.1%,"1,820,225,790",-5211058430 ( -74.1% ),"194,476",-534439 ( -73.3% ),"90,606,880,200","9,407,753",1
2026.3.4,"1,633",26.6%,"6,464",46.1%,"932,809",50.1%,20.3%,"1,768,402,810",-51822980 ( -2.8% ),"189,637",-4839 ( -2.5% ),"92,375,283,010","9,597,390",1
2026.3.5,"1,697",27.9%,"6,654",48.6%,"959,268",52.7%,18.8%,"1,676,046,780",-92356030 ( -5.2% ),"180,529",-9108 ( -4.8% ),"94,051,329,790","9,777,919",1
2026.3.6,"1,881",29.8%,"7,684",51.3%,"1,108,073",55.6%,24.5%,"2,659,703,920",983657140 ( 58.7% ),"271,738",91209 ( 50.5% ),"96,711,033,710","10,049,657",1
2026.3.7,"2,171",32.7%,"9,535",55.6%,"1,342,837",60.2%,56.2%,"7,435,162,890",4775458970 ( 179.5% ),"754,518",482780 ( 177.7% ),"104,146,196,600","10,804,175",1
